country,country_code,country_iso,prefix,voice_rate_in_dollars,voice_unit_in_seconds
United States,1,USA,1,0.01250,60
Canada,1,CAN,1204,0.01300,60
Canada,1,CAN,1226,0.01300,60
Bahamas,1242,BHS,1242,0.31690,60
Barbados,1246,BRB,1246,0.31690,60
Canada,1,CAN,1249,0.01300,60
Canada,1,CAN,1250,0.01300,60
Anguilla,1264,AIA,1264,0.31690,60
Canada,1,CAN,1289,0.01300,60
Canada,1,CAN,1306,0.01300,60
United States,1,USA,1340,0.02500,60
Cayman Islands,1345,CYM,1345,0.10000,60
Cayman Islands,1345,CYM,1345229,0.18300,60
Cayman Islands,1345,CYM,134523,0.18300,60
Cayman Islands,1345,CYM,1345235,0.18300,60
Cayman Islands,1345,CYM,134524,0.18300,60
Cayman Islands,1345,CYM,1345249,0.18300,60
Cayman Islands,1345,CYM,134525,0.18300,60
Cayman Islands,1345,CYM,134526,0.18300,60
Cayman Islands,1345,CYM,134527,0.18300,60
Cayman Islands,1345,CYM,134528,0.18300,60
Cayman Islands,1345,CYM,134529,0.18300,60
Cayman Islands,1345,CYM,134532,0.18300,60
Cayman Islands,1345,CYM,1345320,0.18300,60
Cayman Islands,1345,CYM,1345514,0.18300,60
Cayman Islands,1345,CYM,1345516,0.18300,60
Cayman Islands,1345,CYM,1345517,0.18300,60
Cayman Islands,1345,CYM,1345525,0.18300,60
Cayman Islands,1345,CYM,1345526,0.18300,60
Cayman Islands,1345,CYM,1345527,0.18300,60
Cayman Islands,1345,CYM,1345529,0.18300,60
Cayman Islands,1345,CYM,1345545,0.18300,60
Cayman Islands,1345,CYM,1345546,0.18300,60
Cayman Islands,1345,CYM,1345547,0.18300,60
Cayman Islands,1345,CYM,1345548,0.18300,60
Cayman Islands,1345,CYM,1345549,0.18300,60
Cayman Islands,1345,CYM,1345550,0.18300,60
Cayman Islands,1345,CYM,1345616,0.18300,60
Cayman Islands,1345,CYM,1345617,0.18300,60
Cayman Islands,1345,CYM,1345623,0.18300,60
Cayman Islands,1345,CYM,1345625,0.18300,60
Cayman Islands,1345,CYM,1345626,0.18300,60
Cayman Islands,1345,CYM,1345629,0.18300,60
Cayman Islands,1345,CYM,1345630,0.18300,60
